FALSE,30000000,21.946943,1995-10-30,373554033,81,Toy Story,7.7
FALSE,65000000,17.015539,1995-12-15,262797249,104,Jumanji,6.9
FALSE,0,11.7129,1995-12-22,0,101,Grumpier Old Men,6.5
FALSE,16000000,3.859495,1995-12-22,81452156,127,Waiting to Exhale,6.1
FALSE,0,8.387519,1995-02-10,76578911,106,Father of the Bride Part II,5.7
FALSE,60000000,17.924927,1995-12-15,187436818,170,Heat,7.7
FALSE,58000000,6.677277,1995-12-15,0,127,Sabrina,6.2
FALSE,0,2.561161,1995-12-22,0,97,Tom and Huck,5.4
FALSE,35000000,5.23158,1995-12-22,64350171,106,Sudden Death,5.5
FALSE,58000000,14.686036,1995-11-16,352194034,130,GoldenEye,6.6
FALSE,62000000,6.318445,1995-11-17,107879496,106,The American President,6.5
FALSE,0,5.430331,1995-12-22,0,88,Dracula: Dead and Loving It,5.7
FALSE,0,12.140733,1995-12-22,11348324,78,Balto,7.1
FALSE,44000000,5.092,1995-12-22,13681765,192,Nixon,7.1
FALSE,98000000,7.284477,1995-12-22,10017322,119,Cutthroat Island,5.7
FALSE,52000000,10.137389,1995-11-22,116112375,178,Casino,7.8
FALSE,16500000,10.673167,1995-12-13,135000000,136,Sense and Sensibility,7.2
FALSE,4000000,9.026586,1995-12-09,4300000,98,Four Rooms,6.5
FALSE,30000000,8.205448,1995-11-10,212385533,90,Ace Ventura: When Nature Calls,6.1
FALSE,60000000,7.337906,1995-11-21,35431113,103,Money Train,5.4
FALSE,30250000,12.669608,1995-10-20,115101622,105,Get Shorty,6.4
FALSE,0,10.701801,1995-10-27,0,124,Copycat,6.5
FALSE,50000000,11.065939,1995-10-06,30303072,132,Assassins,6
FALSE,0,12.133094,1995-10-27,0,111,Powder,6.3
FALSE,3600000,10.332025,1995-10-27,49800000,112,Leaving Las Vegas,7.1
FALSE,0,1.845899,1995-12-15,0,123,Othello,7
FALSE,12000000,8.681325,1995-10-20,27400000,100,Now and Then,6.6
FALSE,0,2.228434,1995-09-27,0,104,Persuasion,7.4
FALSE,18000000,9.822423,1995-05-16,1738611,108,The City of Lost Children,7.6
FALSE,0,1.100915,1995-04-30,0,108,Shanghai Triad,6.5
FALSE,0,9.481338,1995-08-11,180000000,99,Dangerous Minds,6.4
FALSE,29500000,12.297305,1995-12-29,168840000,129,Twelve Monkeys,7.4
FALSE,0,0.745542,1996-09-18,0,50,Wings of Courage,6.8
